post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
170771517.why-we-get-bored-and-why-being-called,2025-08-12T16:00:02.962Z,true,2025-08-12T16:00:03.098Z,2025-08-12T16:00:03.098Z,newsletter,everyone,Why We Get Bored (and Why Being Called Boring Hurts So Much),"A psychological look at boredom, the “boring person” label, and how this much-maligned emotion can sometimes work to our advantage.",
170359710.psychology-classics-a67,2025-08-07T14:24:46.390Z,true,2025-08-07T14:24:46.561Z,2025-08-07T14:24:46.561Z,newsletter,everyone,Psychology Classics,The Influence of Darwin on Psychology by James Rowland Angell,
169994562.the-psychology-of-love-island,2025-08-03T12:37:49.664Z,true,2025-08-03T12:37:49.742Z,2025-08-03T12:37:49.742Z,newsletter,everyone,The Psychology of Love Island,"How FOMO, social-media hype, and picture-perfect bodies keep millions glued to a villa full of strangers - and what that says about us.",
169555640.psychology-classics,2025-07-29T15:11:58.536Z,true,2025-07-29T15:11:58.622Z,2025-07-29T15:11:58.622Z,newsletter,everyone,Psychology Classics,Persons or Science? A Philosophical Question by Carl Rogers,
169223021.chasing-rainbows,2025-07-26T13:07:06.403Z,true,2025-07-26T13:07:06.503Z,2025-07-26T13:07:06.503Z,newsletter,everyone,Chasing Rainbows,"On yearning, disappointment, and why we chase what we may never reach",
168928556.the-gen-z-stare,2025-07-22T12:25:14.325Z,true,2025-07-22T12:25:14.415Z,2025-07-22T12:25:14.415Z,newsletter,everyone,The Gen Z Stare,"How a blank face became Gen Z’s silent signal and what psychology says about the anxiety, authenticity, and miscommunication beneath it",
168694459.all-about-psychology-newsletter-e4f,2025-07-20T14:27:58.877Z,true,2025-07-20T14:27:58.972Z,2025-07-20T14:27:58.972Z,newsletter,everyone,All About Psychology Newsletter,Imaginary Friends. The Trial That Gave Us the Word 'Psychopath'. Do Social Butterflies Struggle at Love?,
167888173.cool-people,2025-07-09T14:43:05.779Z,true,2025-07-09T14:43:05.879Z,2025-07-09T14:43:05.879Z,newsletter,everyone,Cool People,What Psychology Reveals About Their Global Appeal,
167425474.the-psychology-music-chart,2025-07-03T15:07:17.218Z,true,2025-07-03T15:07:17.311Z,2025-07-03T15:07:17.311Z,newsletter,everyone,The Psychology Music Chart,"A just-for-fun collection of top tunes that sound like they could’ve been written in honor of psychology’s greatest minds, theories, and studies.",
167026032.timeless-psychology-classic-insights,2025-06-28T14:00:16.570Z,true,2025-06-28T14:00:16.682Z,2025-06-28T14:00:16.682Z,newsletter,everyone,Timeless Psychology: Classic Insights into Life and Human Behavior,William James and The Great San Francisco Earthquake,
166794600.2b6,,false,,,podcast,only_paid,,,
166576690.ab6,,false,,,newsletter,only_paid,,,
166517972.what-do-our-dreams-really-mean,2025-06-23T14:00:41.259Z,true,2025-06-23T14:00:41.343Z,2025-06-23T14:00:41.343Z,newsletter,everyone,What Do Our Dreams Really Mean?,Exploring the Psychology of Our Sleeping Minds,
165931070.why-losing-a-dog-feels-like-losing,2025-06-14T13:17:09.988Z,true,2025-06-14T13:17:10.108Z,2025-06-14T13:17:10.108Z,newsletter,everyone,Why Losing a Dog Feels Like Losing a Part of Yourself,"A deeply human look at pet grief, attachment, and the psychology behind the pain of saying goodbye",
